"Name","Position","Age","Team_from","League_from","Team_to","League_to","Season","Market_value","Transfer_fee"
"Claudio Bravo","Goalkeeper",31,"Real Sociedad","LaLiga","FC Barcelona","LaLiga","2014-2015",4000000,12000000
"Ross McCormack","Second Striker",27,"Leeds","Championship","Fulham","Championship","2014-2015",2600000,11800000
"Quincy Promes","Left Winger",22,"FC Twente","Eredivisie","Spartak Moscow","Premier Liga","2014-2015",3000000,11500000
"Vincent Aboubakar","Centre-Forward",22,"FC Lorient","Ligue 1","FC Porto","Liga NOS","2014-2015",5500000,11200000
"Alan","Centre-Forward",25,"RB Salzburg","Bundesliga","GZ Evergrande","Super League","2014-2015",4000000,11100000
"Adrián López","Second Striker",26,"Atlético Madrid","LaLiga","FC Porto","Liga NOS","2014-2015",8000000,11000000
"Graziano Pellè","Centre-Forward",29,"Feyenoord","Eredivisie","Southampton","Premier League","2014-2015",6500000,11000000
"Steven Caulker","Centre-Back",22,"Cardiff","Championship","QPR","Premier League","2014-2015",7500000,10750000
"Raúl Jiménez","Centre-Forward",23,"América","Liga MX Clausura","Atlético Madrid","LaLiga","2014-2015",10000000,10500000
"Gylfi Sigurdsson","Attacking Midfield",24,"Spurs","Premier League","Swansea","Premier League","2014-2015",8000000,10100000
"Leonardo Ulloa","Centre-Forward",28,"Brighton","Championship","Leicester","Premier League","2014-2015",2000000,10100000
"Matthias Ginter","Centre-Back",20,"SC Freiburg","1.Bundesliga","Bor. Dortmund","1.Bundesliga","2014-2015",12000000,10000000
"Rémy Cabella","Attacking Midfield",24,"Montpellier","Ligue 1","Newcastle","Premier League","2014-2015",10000000,10000000
"Keylor Navas","Goalkeeper",27,"Levante UD","LaLiga","Real Madrid","LaLiga","2014-2015",10000000,10000000
"Leroy Fer","Central Midfield",24,"Norwich","Championship","QPR","Premier League","2014-2015",8500000,10000000
"Guilherme Siqueira","Left-Back",28,"Granada CF","LaLiga","Atlético Madrid","LaLiga","2014-2015",8000000,10000000
"Federico Fazio","Centre-Back",27,"Sevilla FC","LaLiga","Spurs","Premier League","2014-2015",8000000,10000000
"Federico Fernández","Centre-Back",25,"SSC Napoli","Serie A","Swansea","Premier League","2014-2015",5000000,10000000
"Juan Bernat","Left-Back",21,"Valencia CF","LaLiga","Bayern Munich ","1.Bundesliga","2014-2015",4000000,10000000
"Andreas Samaris","Defensive Midfield",25,"Olympiacos","Super League","Benfica","Liga NOS","2014-2015",2500000,10000000
"Carlos Muñoz","Centre-Forward",25,"Baniyas SC","UAE Gulf League","Al-Ahli (UAE)","UAE Gulf League","2014-2015",900000,9800000
"Adrián Ramos","Centre-Forward",28,"Hertha BSC","1.Bundesliga","Bor. Dortmund","1.Bundesliga","2014-2015",11000000,9700000
"Stefano Sturaro","Central Midfield",21,"Genoa","Serie A","Juventus","Serie A","2014-2015",3500000,9600000
"Wallace","Centre-Back",19,"Cruzeiro","Série A","Braga","Liga NOS","2014-2015",100000,9500000
"Xabi Alonso","Defensive Midfield",32,"Real Madrid","LaLiga","Bayern Munich ","1.Bundesliga","2014-2015",8000000,9000000
"Yann Sommer","Goalkeeper",25,"FC Basel","Super League","Bor. M'gladbach","1.Bundesliga","2014-2015",8000000,9000000
"Andrej Kramaric","Centre-Forward",23,"HNK Rijeka","1.HNL","Leicester","Premier League","2014-2015",4500000,9000000
"Darwin Quintero","Right Winger",27,"Santos Laguna","Liga MX Clausura","América","Liga MX Clausura","2014-2015",3000000,9000000
"James McArthur","Central Midfield",26,"Wigan","Championship","Crystal Palace","Premier League","2014-2015",3000000,8800000
"Siem de Jong","Attacking Midfield",25,"AFC Ajax","Eredivisie","Newcastle","Premier League","2014-2015",10000000,8700000
"Pierre-Michel Lasogga","Centre-Forward",22,"Hertha BSC","1.Bundesliga","Hamburger SV","1.Bundesliga","2014-2015",9000000,8500000
"Joaquín Correa","Left Winger",20,"Estudiantes","Primera División","Sampdoria","Serie A","2014-2015",8000000,8400000
"Ciro Immobile","Centre-Forward",24,"Juventus","Serie A","Torino","Serie A","2014-2015",18000000,8000000
"Shinji Kagawa","Attacking Midfield",25,"Man Utd","Premier League","Bor. Dortmund","1.Bundesliga","2014-2015",15000000,8000000
"Gary Medel","Defensive Midfield",27,"Cardiff","Championship","Inter","Serie A","2014-2015",11000000,8000000
"Alfred Finnbogason","Centre-Forward",25,"Heerenveen","Eredivisie","Real Sociedad","LaLiga","2014-2015",9000000,8000000
"Paulinho","Centre-Forward",28,"AS Livorno","Serie B","Al Arabi","Stars League","2014-2015",8500000,8000000
"Marlos","Right Winger",26,"Metalist","Premier Liga","Shakhtar D.","Premier Liga","2014-2015",7000000,8000000
"Shkodran Mustafi","Centre-Back",22,"Sampdoria","Serie A","Valencia CF","LaLiga","2014-2015",7000000,8000000
"Imoh Ezekiel","Centre-Forward",20,"Standard Liège","Jupiler Pro League","Al Arabi","Stars League","2014-2015",5000000,8000000
"Willy Caballero","Goalkeeper",32,"Málaga CF","LaLiga","Man City","Premier League","2014-2015",5000000,8000000
"Charles Aránguiz","Central Midfield",25,"Udinese Calcio","Serie A","Internacional","Série A","2014-2015",3000000,8000000
"Odion Ighalo","Centre-Forward",25,"Udinese Calcio","Serie A","Watford","Championship","2014-2015",2000000,8000000
"Tiemoué Bakayoko","Defensive Midfield",19,"Stade Rennais","Ligue 1","Monaco","Ligue 1","2014-2015",1250000,8000000
"Kalidou Koulibaly","Centre-Back",23,"KRC Genk","Jupiler Pro League","SSC Napoli","Serie A","2014-2015",6500000,7750000
"Bruno Martins Indi","Centre-Back",22,"Feyenoord","Eredivisie","FC Porto","Liga NOS","2014-2015",6000000,7700000
"Jordon Mutch","Central Midfield",22,"Cardiff","Championship","QPR","Premier League","2014-2015",3000000,7570000
"Sandro","Defensive Midfield",25,"Spurs","Premier League","QPR","Premier League","2014-2015",11000000,7500000
"Cheikhou Kouyaté","Defensive Midfield",24,"RSC Anderlecht","Jupiler Pro League","West Ham","Premier League","2014-2015",7000000,7500000
"Manuel Lanzini","Attacking Midfield",21,"River Plate","Torneo Inicial","Al-Jazira","UAE Gulf League","2014-2015",6000000,7500000
"Robert Snodgrass","Right Winger",26,"Norwich","Championship","Hull City","Premier League","2014-2015",5500000,7500000
"Ángel Correa","Right Winger",19,"San Lorenzo","Torneo Inicial","Atlético Madrid","LaLiga","2014-2015",5000000,7500000
"Romarinho","Centre-Forward",23,"Corinthians","Série A","El-Jaish","Stars League","2014-2015",2000000,7500000
"Mapou Yanga-Mbiwa","Centre-Back",25,"Newcastle","Premier League","AS Roma","Serie A","2014-2015",6000000,7350000
"Maxime Lestienne","Left Winger",22,"Club Brugge","Jupiler Pro League","Al Arabi","Stars League","2014-2015",10000000,7300000
"Mathieu Valbuena","Left Winger",29,"Marseille","Ligue 1","Dinamo Moscow","Premier Liga","2014-2015",14000000,7000000
"Nuri Sahin","Defensive Midfield",25,"Real Madrid","LaLiga","Bor. Dortmund","1.Bundesliga","2014-2015",12000000,7000000
"Giacomo Bonaventura","Central Midfield",25,"Atalanta","Serie A","AC Milan","Serie A","2014-2015",10000000,7000000
"Tin Jedvaj","Centre-Back",19,"AS Roma","Serie A","Bay. Leverkusen","1.Bundesliga","2014-2015",6500000,7000000
"Stefan de Vrij","Centre-Back",22,"Feyenoord","Eredivisie","Lazio","Serie A","2014-2015",6000000,7000000
"Omer Damari","Centre-Forward",25,"Austria Vienna","Bundesliga","RB Leipzig","2.Bundesliga","2014-2015",2500000,7000000
"Jake Livermore","Defensive Midfield",24,"Spurs","Premier League","Hull City","Premier League","2014-2015",2500000,7000000
"Daley Sinkgraven","Left-Back",19,"Heerenveen","Eredivisie","AFC Ajax","Eredivisie","2014-2015",1500000,7000000
"Majeed Waris","Centre-Forward",22,"Spartak Moscow","Premier Liga","Trabzonspor","Süper Lig","2014-2015",2500000,6900000
"Britt Assombalonga","Centre-Forward",21,"Peterborough","League One","Nottm Forest","Championship","2014-2015",1000000,6900000
"Josip Drmic","Centre-Forward",21,"1.FC Nuremberg","2.Bundesliga","Bay. Leverkusen","1.Bundesliga","2014-2015",10000000,6800000
"Florin Gardos","Centre-Back",25,"FCS Bucharest","Liga 1","Southampton","Premier League","2014-2015",6000000,6800000
"Dele Alli","Attacking Midfield",18,"MK Dons","League One","Spurs","Premier League","2014-2015",2000000,6630000
"Kyle Naughton","Right-Back",26,"Spurs","Premier League","Swansea","Premier League","2014-2015",5000000,6600000
"Darío Benedetto","Centre-Forward",24,"Club Tijuana","Liga MX Clausura","América","Liga MX Clausura","2014-2015",1800000,6600000
"Marko Livaja","Centre-Forward",20,"Atalanta","Serie A","Rubin Kazan","Premier Liga","2014-2015",5000000,6500000
"Yacine Brahimi","Left Winger",24,"Granada CF","LaLiga","FC Porto","Liga NOS","2014-2015",4000000,6500000
"Wendell","Left-Back",20,"Grêmio","Série A","Bay. Leverkusen","1.Bundesliga","2014-2015",3000000,6500000
"Callum McManaman","Right Winger",23,"Wigan","Championship","West Brom","Premier League","2014-2015",3000000,6350000
"Jordon Mutch","Central Midfield",23,"QPR","Premier League","Crystal Palace","Premier League","2014-2015",6000000,6340000
"Emmanuel Rivière","Centre-Forward",24,"Monaco","Ligue 1","Newcastle","Premier League","2014-2015",5000000,6320000
"Mirko Vucinic","Second Striker",30,"Juventus","Serie A","Al-Jazira","UAE Gulf League","2014-2015",9000000,6300000
"Bruno Ecuele Manga","Centre-Back",26,"FC Lorient","Ligue 1","Cardiff","Championship","2014-2015",5000000,6300000
"Ashkan Dejagah","Right Winger",28,"Fulham","Championship","Al Arabi","Stars League","2014-2015",3000000,6300000
"Antonio Sanabria","Centre-Forward",18,"Sassuolo","Serie A","AS Roma","Serie A","2014-2015",4500000,6200000
"Ezequiel Garay","Centre-Back",27,"Benfica","Liga NOS","Zenit S-Pb","Premier Liga","2014-2015",20000000,6000000
"Valon Behrami","Defensive Midfield",29,"SSC Napoli","Serie A","Hamburger SV","1.Bundesliga","2014-2015",12000000,6000000
"Demba Ba","Centre-Forward",29,"Chelsea","Premier League","Besiktas","Süper Lig","2014-2015",11000000,6000000
"Jonathan de Guzmán","Central Midfield",26,"Villarreal CF","LaLiga","SSC Napoli","Serie A","2014-2015",10000000,6000000
"Giuliano","Attacking Midfield",24,"Dnipro","Premier Liga","Grêmio","Série A","2014-2015",8000000,6000000
"Michy Batshuayi","Centre-Forward",20,"Standard Liège","Jupiler Pro League","Marseille","Ligue 1","2014-2015",8000000,6000000
"Ádám Szalai","Centre-Forward",26,"FC Schalke 04","1.Bundesliga","TSG Hoffenheim","1.Bundesliga","2014-2015",7000000,6000000
"Roberto","Goalkeeper",28,"Atlético Madrid","LaLiga","Olympiacos","Super League","2014-2015",6000000,6000000
"William Vainqueur","Defensive Midfield",25,"Standard Liège","Jupiler Pro League","Dinamo Moscow","Premier Liga","2014-2015",6000000,6000000
"Steven Defour","Central Midfield",26,"FC Porto","Liga NOS","RSC Anderlecht","Jupiler Pro League","2014-2015",6000000,6000000
"Admir Mehmedi","Second Striker",23,"Dynamo Kyiv","Premier Liga","SC Freiburg","1.Bundesliga","2014-2015",5500000,6000000
"Oussama Assaidi","Left Winger",26,"Liverpool","Premier League","Al-Ahli (UAE)","UAE Gulf League","2014-2015",5000000,6000000
"Dorlan Pabón","Second Striker",26,"Valencia CF","LaLiga","Monterrey","Liga MX Clausura","2014-2015",5000000,6000000
"Daryl Janmaat","Right-Back",25,"Feyenoord","Eredivisie","Newcastle","Premier League","2014-2015",5000000,6000000
"Carlos Sánchez","Defensive Midfield",28,"Elche CF","LaLiga","Aston Villa","Premier League","2014-2015",4000000,6000000
"Vitorino Antunes","Left-Back",27,"Málaga CF","LaLiga","Dynamo Kyiv","Premier Liga","2014-2015",3000000,6000000
"Filip Kostic","Left Winger",21,"FC Groningen","Eredivisie","VfB Stuttgart","1.Bundesliga","2014-2015",2500000,6000000
"Roman Eremenko","Attacking Midfield",27,"Rubin Kazan","Premier Liga","CSKA Moscow","Premier Liga","2014-2015",13000000,5900000
"Benjamin Stambouli","Centre-Back",24,"Montpellier","Ligue 1","Spurs","Premier League","2014-2015",5000000,5900000
"Muriqui","Left Winger",28,"GZ Evergrande","Super League","Al Sadd","Stars League","2014-2015",3500000,5900000
"Ishak Belfodil","Second Striker",22,"Inter","Serie A","Parma","Serie A","2014-2015",7000000,5750000
"Eric Bailly","Centre-Back",20,"Espanyol","LaLiga","Villarreal CF","LaLiga","2014-2015",1000000,5700000
"Michel Vorm","Goalkeeper",30,"Swansea","Premier League","Spurs","Premier League","2014-2015",7000000,5690000
"Hai Yu","Left-Back",27,"BJ Renhe","Super League","SIPG","Super League","2014-2015",600000,5600000
"Luciano Vietto","Centre-Forward",20,"Racing Club","Torneo Inicial","Villarreal CF","LaLiga","2014-2015",8500000,5500000
"Sime Vrsaljko","Right-Back",22,"Genoa","Serie A","Sassuolo","Serie A","2014-2015",7500000,5500000
"Oliver Baumann","Goalkeeper",24,"SC Freiburg","1.Bundesliga","TSG Hoffenheim","1.Bundesliga","2014-2015",7000000,5500000
"Rickie Lambert","Centre-Forward",32,"Southampton","Premier League","Liverpool","Premier League","2014-2015",5000000,5500000
"Alberto Gilardino","Centre-Forward",32,"Genoa","Serie A","GZ Evergrande","Super League","2014-2015",5000000,5500000
"Luuk de Jong","Centre-Forward",23,"Bor. M'gladbach","1.Bundesliga","PSV Eindhoven","Eredivisie","2014-2015",5000000,5500000
"Grzegorz Krychowiak","Defensive Midfield",24,"Reims","Ligue 1","Sevilla FC","LaLiga","2014-2015",5000000,5500000
"Oumar Niasse","Centre-Forward",24,"Akhisarspor","Süper Lig","Loko Moscow","Premier Liga","2014-2015",4000000,5500000
"Alexander Büttner","Left-Back",25,"Man Utd","Premier League","Dinamo Moscow","Premier Liga","2014-2015",3500000,5500000
"Diego Tardelli","Centre-Forward",29,"Atlético-MG","Série A","SD Luneng","Super League","2014-2015",3500000,5500000
"Andrea Belotti","Centre-Forward",20,"UC AlbinoLeffe","Serie C - A","US Palermo","Serie A","2014-2015",2500000,5500000
"Isaac Brizuela","Right Winger",24,"Toluca","Liga MX Clausura","Chivas","Liga MX Clausura","2014-2015",2000000,5500000
"Hanchao Yu","Left Winger",27,"DL Yifang","Super League","GZ Evergrande","Super League","2014-2015",500000,5500000
"Pape Souaré","Left-Back",24,"LOSC Lille","Ligue 1","Crystal Palace","Premier League","2014-2015",3500000,5330000
"David López","Centre-Back",24,"Espanyol","LaLiga","SSC Napoli","Serie A","2014-2015",5000000,5300000
"Hernane","Centre-Forward",28,"Flamengo","Série A","Nasr","Professional League","2014-2015",2000000,5300000
"Bryan Cristante","Central Midfield",19,"AC Milan","Serie A","Benfica","Liga NOS","2014-2015",3000000,5200000
"Óscar Cardozo","Centre-Forward",31,"Benfica","Liga NOS","Trabzonspor","Süper Lig","2014-2015",9000000,5000000
"Massimo Bruno","Attacking Midfield",20,"RSC Anderlecht","Jupiler Pro League","RB Leipzig","2.Bundesliga","2014-2015",8000000,5000000
"Dória","Centre-Back",19,"Botafogo","Série A","Marseille","Ligue 1","2014-2015",8000000,5000000
"Pablo Hernández","Right Winger",29,"Swansea","Premier League","Al Arabi","Stars League","2014-2015",8000000,5000000
"Papu Gómez","Second Striker",26,"Metalist","Premier Liga","Atalanta","Serie A","2014-2015",8000000,5000000
"Romain Alessandrini","Left Winger",25,"Stade Rennais","Ligue 1","Marseille","Ligue 1","2014-2015",7500000,5000000
"Daniele Rugani","Centre-Back",20,"FC Empoli","Serie A","Juventus","Serie A","2014-2015",7500000,5000000
"Chico","Centre-Back",27,"Swansea","Premier League","Al Duhail","Stars League","2014-2015",6500000,5000000
"Alen Halilovic","Attacking Midfield",18,"Dinamo Zagreb","1.HNL","FC Barcelona B","LaLiga2","2014-2015",6500000,5000000
"Vadis Odjidja-Ofoe","Central Midfield",25,"Club Brugge","Jupiler Pro League","Norwich","Championship","2014-2015",5000000,5000000
"Sergio Asenjo","Goalkeeper",25,"Atlético Madrid","LaLiga","Villarreal CF","LaLiga","2014-2015",5000000,5000000
"Luca Marrone","Defensive Midfield",24,"Sassuolo","Serie A","Juventus","Serie A","2014-2015",4500000,5000000
"Alan Kasaev","Left Winger",28,"Rubin Kazan","Premier Liga","Loko Moscow","Premier Liga","2014-2015",4000000,5000000
"Jonathan Pitroipa","Right Winger",28,"Stade Rennais","Ligue 1","Al-Jazira","UAE Gulf League","2014-2015",4000000,5000000
"Lucas Mendes","Centre-Back",24,"Marseille","Ligue 1","El-Jaish","Stars League","2014-2015",4000000,5000000
"Pajtim Kasami","Central Midfield",22,"Fulham","Championship","Olympiacos","Super League","2014-2015",3500000,5000000
"Eric Dier","Defensive Midfield",20,"Sporting CP","Liga NOS","Spurs","Premier League","2014-2015",3500000,5000000
"Jefferson Montero","Left Winger",24,"Morelia","Liga MX Clausura","Swansea","Premier League","2014-2015",3300000,5000000
"Sammir","Attacking Midfield",27,"Getafe CF","LaLiga","JS Suning","Super League","2014-2015",3000000,5000000
"Joselu","Centre-Forward",24,"TSG Hoffenheim","1.Bundesliga","Hannover 96","1.Bundesliga","2014-2015",3000000,5000000
"Diafra Sakho","Centre-Forward",24,"FC Metz","Ligue 1","West Ham","Premier League","2014-2015",3000000,5000000
"Karl Darlow","Goalkeeper",23,"Nottm Forest","Championship","Newcastle","Premier League","2014-2015",1000000,5000000
"Jamaal Lascelles","Centre-Back",20,"Nottm Forest","Championship","Newcastle","Premier League","2014-2015",600000,5000000
"Cristian Penilla","Left Winger",23,"Barcelona SC","Serie A Segunda Etapa","CF Pachuca","Liga MX Clausura","2014-2015",1500000,4950000
"Nicolás Lodeiro","Attacking Midfield",25,"Corinthians","Série A","Boca Juniors","Primera División","2014-2015",2000000,4920000
"Marco Benassi","Central Midfield",19,"Inter","Serie A","Torino","Serie A","2014-2015",4000000,4800000
"Rodrigo de Paul","Right Winger",20,"Racing Club","Torneo Inicial","Valencia CF","LaLiga","2014-2015",3500000,4800000
"Muhamed Besic","Defensive Midfield",21,"Ferencváros","NB I.","Everton","Premier League","2014-2015",2500000,4800000
"Tarik Camdal","Right-Back",23,"Eskisehirspor","Süper Lig","Galatasaray","Süper Lig","2014-2015",2700000,4750000
"Aaron Cresswell","Left-Back",24,"Ipswich","Championship","West Ham","Premier League","2014-2015",1500000,4750000
"Talisca","Attacking Midfield",20,"EC Bahia","Série A","Benfica","Liga NOS","2014-2015",400000,4750000
"Gökhan Töre","Right Winger",22,"Rubin Kazan","Premier Liga","Besiktas","Süper Lig","2014-2015",7000000,4500000
"Nicolai Müller","Right Winger",26,"1.FSV Mainz 05","1.Bundesliga","Hamburger SV","1.Bundesliga","2014-2015",7000000,4500000
